"Symbol","logFC","logCPM","F","PValue","FDR"
"DNAJC16",-1.84155446666177,3.65341940156844,50.8606468230153,9.8868907928084e-05,0.00579276520133812
"BTN2A2",-2.48253515379093,3.27582892471784,50.8595904623144,9.8876114776122e-05,0.00579276520133812
"ZNF780A",-1.47709313586149,3.91012757418038,50.7963349863363,9.93088648795015e-05,0.00579276520133812
"PLAGL2",-1.21466594317076,5.48464287760121,50.7373625932059,9.97144483601251e-05,0.00579276520133812
"ID2",3.21415628414971,6.00075471986748,50.6695303829833,0.000100183530182726,0.00579276520133812
"MAP3K1",-1.85830741584359,3.72522056482619,50.6223688902505,0.000100511294171178,0.00579276520133812
"MAU2",-1.78790431223453,3.37464424878251,50.5923104504076,0.000100720894791939,0.00579276520133812
"SNX33",-1.35164418378846,4.35155683759922,50.5081419970817,0.000101310725114703,0.00580146438016143
"TRIM32",-1.23822740763353,4.32618049714122,50.4049040562947,0.000102040099823477,0.0058180450020041
"ZNF510",-1.76288951757736,3.73729494194058,50.2991433561366,0.000102794119490417,0.00583588245759327
